Actif financier,Résultat,Ratio Gains / Pertes,Ordre ✅ ,Tendance de fond 📊 ,STRATEGIE🏦 ,illustration,TF,CLOSING LONDON,"observations ",Arrêt date,Structure 🔰 ,Pourcentage du capital,Win,Lose
EURUSD,Stop loss,,Vente ⬇️,Tendance baissière 📉,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-11_22-39-42_ac5be.png,1h,NY+C_LONDON,"J,’ai pris le trade parce que j’avais des confluences comme tu peux le voir sur l’illustration  mais j’avais les doute parce que gbpusd etais comme même plus fort que eurusd et montré un sentiment de hausse  et je pense que j’ai pris mon trade dans un mauvais ote de fibo",,,,0,0
EURUSD,Observation,,,Tendance baissière 📉,,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-11_22-48-28_9a0a5.png,45m,," ",,,,0,0
EURUSD,Stop loss,,Vente ⬇️,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/fiPnhMS6/,45m,LONDON+NY,"ici, j’ai fait une erreur de sl, et de timing , d’abord le AMD qui c’est formé je l’ai pas pris en compte et aussi , mais j’ai pue apprendre la formation de ob a partir de plusieur bougie , en m30 desormais je vais essayé de prendre sa en compte",,,,0,0
EURUSD,Observation,,Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/AR62HtKw/,45m,LONDON+NY,"Ici , j’ai pas pue prendre le trade a cause du placement de mon PE, j’ai pue apprendre que je peux combiner une zone de pd array cassé a une zone de pd array former en contre , via un BPR, pour prendre appuis sur sa et je commence mieux a voir les heures que je peux trader",,,,0,0
EURUSD,Stop loss,,Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/ktKV1eL3/,45m,LONDON+NY,"ici on m’a juste fait sortir je sais pas trop, j’ai pue remarqué que en même temps GBPUSD avait un très bon set up et etait plus fort que eurusd et aussi, y’avait un parfait ob en bas de mon fvg pour une meilleur entré prochaineemnt je ferais attention",,,,0,0
EURUSD,Take profit,"2,28",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/v23Qvf7Y/,30m,NY,"ici jours suivant, j’avais deja la tendance en tête , toute mes confluence etait reunie a part GBPUSD, je l’ai pas regardé, #Premier TP😏",,,,1,0
EURUSD,Stop loss,,Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/BDro5XkY/,30m,LONDON+NY,"ici j’avoue ce trade ne respecter pas exactement mes confmuence, non seulement mon ob n’tais pas complet pour respecter tous ces conditions mais en 2h y’avait de meilleur P.E , faut que j’apprene a regardé des times frames suprerieur quand je veux prendre un bon trade",,,,0,0
EURUSD,Take profit,"3,19",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-12_01-03-51_f24d3.png,30m,LONDON+NY,"Ici rien a dire toutes mes confluence etait reunie, a part correlation, qu’il faut encor que je retravaille,",,,,1,0
GBPUSD,Gains,,Vente ⬇️,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/lS1R0t34/,30m,NY+C_LONDON,"ICI je me suis appuyé  sur une confluation price action qui est le double bottom et les bougie de deplacement sur le PDH etait assez bon, je pense que laissez un trade jusqu’à 2 jours est trop fort pour moi",,,,0,0
GBPUSD,Stop loss,,Vente ⬇️,Tendance haussière 📈,Swing 🔴,https://www.tradingview.com/x/lS1R0t34/,30m,LONDON+NY,"trop gourmand j’ai cherché les etoiles, et le 4h c’est la verité , en bref les grosses times frames je comprend mieux pourquoi je me faisait autant sortir bêtement",,,,0,0
EURUSD,Take profit,"2,07",,Tendance haussière 📈,Swing 🔴,https://www.tradingview.com/x/xARqiw5I/,30m,,"ici je suis pas trop fier parce que de 1 j’ai pas respecté la zone d’ote et aussi mon rr ne me plaisait pas , mais j’apprend a identifié et respecter ma strategie en prenons des trades que de haute proba",,,,1,0
GBPUSD,Gains,,Vente ⬇️,Tendance baissière 📉,Intra Day 🔵,https://www.tradingview.com/x/xARqiw5I/,30m,,j’ai arrêté le trade a cause du candle daily qui c’est rapidement pressé de touché mon PDH j’ai sue que après sa le marché allait se retourné.,,,,0,0
GBPUSD,Stop loss,,Achat ⬆️,Tendance baissière 📉,Intra Day 🔵,,30m,,"DESORDRE TOTAL, je sais pas ce qui c’est passé rien ne sais passé comme prevue et je pense que j’ai pas aussi respecté ma strategie je dois encor mieux bosser sa",,,,0,0
GBPUSD,Stop loss,,Vente ⬇️,Tendance baissière 📉,Intra Day 🔵,https://www.tradingview.com/x/oeNPtCSK/,30m,,même chose,,,,0,0
